EK,UK,UUK,Kennzeichen,Klassendefinition,Klassenname,Beispiele,Target
B,BD,BDA,BDA,"Dichteerkennungsobjekt, mit Skalarausgang",Dichtemesswertgeber,Dichtesensor,Dichtemesswertgeber
B,BD,BDA,BDA,"Dichteerkennungsobjekt, mit Skalarausgang",Dichtemesswertgeber,Dichtesensor,"Dichteerkennungsobjekt, mit Skalarausgang"
B,BD,BDA,BDA,"Dichteerkennungsobjekt, mit Skalarausgang",Dichtemesswertgeber,Senkwaage,"Dichteerkennungsobjekt, mit Skalarausgang"
B,BD,BDB,BDB,"Dichteerkennungsobjekt, mit Booleschem Ausgang",Dichteschalter,Dichtesensor,"Dichteerkennungsobjekt, mit Booleschem Ausgang"
B,BD,BDB,BDB,"Dichteerkennungsobjekt, mit Booleschem Ausgang",Dichteschalter,Dichtesensor,Dichteschalter
B,BD,BDB,BDB,"Dichteerkennungsobjekt, mit Booleschem Ausgang",Dichteschalter,Dichtesensor,Dichtesensor
B,BE,,BE,Erkennungsobjekt für Spannungsfeld,Spannungsfelderkennungsobjekt,,Erkennungsobjekt für Spannungsfeld
B,BE,,BE,Erkennungsobjekt für Spannungsfeld,Spannungsfelderkennungsobjekt,,Spannungsfelderkennungsobjekt
B,BE,BEA,BEA,"Felderkennungsobjekt für elektrische Felder, mit Skalarausgang",Elektrischer Feldsensor,,"Felderkennungsobjekt für elektrische Felder, mit Skalarausgang"
B,BE,BEA,BEA,"Felderkennungsobjekt für elektrische Felder, mit Skalarausgang",Elektrischer Feldsensor,,Elektrischer Feldsensor
B,BE,BEB,BEB,"Felderkennungsobjekt für elektrische Felder, mit Booleschem Ausgang",Elektrischer Felddetektor,,"Felderkennungsobjekt für elektrische Felder, mit Booleschem Ausgang"
B,BE,BEB,BEB,"Felderkennungsobjekt für elektrische Felder, mit Booleschem Ausgang",Elektrischer Felddetektor,,Elektrischer Felddetektor
B,BE,BEC,BEC,"Felderkennungsobjekt für Magnetfelder, mit Skalarausgang",Magnetfeldsensor,,Magnetfeldsensor
B,BE,BEC,BEC,"Felderkennungsobjekt für Magnetfelder, mit Skalarausgang",Magnetfeldsensor,,"Felderkennungsobjekt für Magnetfelder, mit Skalarausgang"
B,BE,BED,BED,"Felderkennungsobjekt für Magnetfelder, mit Booleschem Ausgang",Magnetfelddetektor,Reedrelais,"Felderkennungsobjekt für Magnetfelder, mit Booleschem Ausgang"
B,BE,BED,BED,"Felderkennungsobjekt für Magnetfelder, mit Booleschem Ausgang",Magnetfelddetektor,Reedrelais,Magnetfelddetektor
B,BE,BED,BED,"Felderkennungsobjekt für Magnetfelder, mit Booleschem Ausgang",Magnetfelddetektor,Reedrelais,Reedrelais
B,BE,BED,BED,"Felderkennungsobjekt für Magnetfelder, mit Booleschem Ausgang",Magnetfelddetektor,Reedschalter,"Felderkennungsobjekt für Magnetfelder, mit Booleschem Ausgang"
B,BE,BED,BED,"Felderkennungsobjekt für Magnetfelder, mit Booleschem Ausgang",Magnetfelddetektor,Reedschalter,Magnetfelddetektor
B,BE,BED,BED,"Felderkennungsobjekt für Magnetfelder, mit Booleschem Ausgang",Magnetfelddetektor,Reedschalter,Reedschalter
B,BF,,BF,Erkennungsobjekt für Durchfluss,Durchflusserkennungsobjekt,,Erkennungsobjekt für Durchfluss
B,BF,,BF,Erkennungsobjekt für Durchfluss,Durchflusserkennungsobjekt,,Durchflusserkennungsobjekt
B,BF,BFA,BFA,"Durchflusserkennungsobjekt, mit Skalarausgang",Durchflussmesswertgeber,Durchflusssensor,"Durchflusserkennungsobjekt, mit Skalarausgang"
B,BF,BFA,BFA,"Durchflusserkennungsobjekt, mit Skalarausgang",Durchflussmesswertgeber,Flüssigkeitsflusssensor,Durchflussmesswertgeber
B,BF,BFA,BFA,"Durchflusserkennungsobjekt, mit Skalarausgang",Durchflussmesswertgeber,Flüssigkeitsflusssensor,"Durchflusserkennungsobjekt, mit Skalarausgang"
B,BF,BFA,BFA,"Durchflusserkennungsobjekt, mit Skalarausgang",Durchflussmesswertgeber,Flüssigkeitsflusssensor,Flüssigkeitsflusssensor
B,BF,BFA,BFA,"Durchflusserkennungsobjekt, mit Skalarausgang",Durchflussmesswertgeber,Durchflusssensor,Durchflusssensor
B,BF,BFA,BFA,"Durchflusserkennungsobjekt, mit Skalarausgang",Durchflussmesswertgeber,Durchflusssensor,Durchflussmesswertgeber
B,BF,BFA,BFA,"Durchflusserkennungsobjekt, mit Skalarausgang",Durchflussmesswertgeber,Gasflusssensor,Gasflusssensor
B,BF,BFA,BFA,"Durchflusserkennungsobjekt, mit Skalarausgang",Durchflussmesswertgeber,Wasserflusssensor,Wasserflusssensor
B,BF,BFA,BFA,"Durchflusserkennungsobjekt, mit Skalarausgang",Durchflussmesswertgeber,Gasflusssensor,"Durchflusserkennungsobjekt, mit Skalarausgang"
B,BF,BFA,BFA,"Durchflusserkennungsobjekt, mit Skalarausgang",Durchflussmesswertgeber,Feststoff-flusssensor,Feststoff-flusssensor
B,BF,BFA,BFA,"Durchflusserkennungsobjekt, mit Skalarausgang",Durchflussmesswertgeber,Feststoff-flusssensor,Durchflussmesswertgeber
B,BF,BFA,BFA,"Durchflusserkennungsobjekt, mit Skalarausgang",Durchflussmesswertgeber,Feststoff-flusssensor,"Durchflusserkennungsobjekt, mit Skalarausgang"
B,BF,BFA,BFA,"Durchflusserkennungsobjekt, mit Skalarausgang",Durchflussmesswertgeber,Wasserflusssensor,Durchflussmesswertgeber
B,BF,BFA,BFA,"Durchflusserkennungsobjekt, mit Skalarausgang",Durchflussmesswertgeber,Wasserflusssensor,"Durchflusserkennungsobjekt, mit Skalarausgang"
B,BF,BFA,BFA,"Durchflusserkennungsobjekt, mit Skalarausgang",Durchflussmesswertgeber,Gasflusssensor,Durchflussmesswertgeber
B,BF,BFB,BFB,"Durchflusserkennungsobjekt, mit Booleschem Ausgang",Durchflussschalter,Feststofffluss-schalter,Feststofffluss-schalter
B,BF,BFB,BFB,"Durchflusserkennungsobjekt, mit Booleschem Ausgang",Durchflussschalter,Feststofffluss-schalter,Durchflussschalter
B,BF,BFB,BFB,"Durchflusserkennungsobjekt, mit Booleschem Ausgang",Durchflussschalter,Feststofffluss-schalter,"Durchflusserkennungsobjekt, mit Booleschem Ausgang"
B,BF,BFB,BFB,"Durchflusserkennungsobjekt, mit Booleschem Ausgang",Durchflussschalter,Gasflussschalter,Gasflussschalter
B,BF,BFB,BFB,"Durchflusserkennungsobjekt, mit Booleschem Ausgang",Durchflussschalter,Gasflussschalter,"Durchflusserkennungsobjekt, mit Booleschem Ausgang"
B,BF,BFB,BFB,"Durchflusserkennungsobjekt, mit Booleschem Ausgang",Durchflussschalter,Gasflussschalter,Durchflussschalter
B,BG,,BG,Erkennungsobjekt für räumliche Dimension und/oder Position,Objekt zur Erkennung von physikalischen Dimensionen,,Erkennungsobjekt für räumliche Dimension und/oder Position
B,BG,,BG,Erkennungsobjekt für räumliche Dimension und/oder Position,Objekt zur Erkennung von physikalischen Dimensionen,,Objekt zur Erkennung von physikalischen Dimensionen
B,BG,BGA,BGA,"Objekt zur Erkennung physikalischer Dimensionen der Position, mit Skalarausgang",Positionsmesswertgeber,Radar,Radar
B,BG,BGA,BGA,"Objekt zur Erkennung physikalischer Dimensionen der Position, mit Skalarausgang",Positionsmesswertgeber,Präsenzdetektor,Präsenzdetektor
B,BG,BGA,BGA,"Objekt zur Erkennung physikalischer Dimensionen der Position, mit Skalarausgang",Positionsmesswertgeber,Präsenzdetektor,Positionsmesswertgeber
B,BG,BGA,BGA,"Objekt zur Erkennung physikalischer Dimensionen der Position, mit Skalarausgang",Positionsmesswertgeber,Präsenzdetektor,"Objekt zur Erkennung physikalischer Dimensionen der Position, mit Skalarausgang"
B,BG,BGA,BGA,"Objekt zur Erkennung physikalischer Dimensionen der Position, mit Skalarausgang",Positionsmesswertgeber,Radar,"Objekt zur Erkennung physikalischer Dimensionen der Position, mit Skalarausgang"
B,BG,BGA,BGA,"Objekt zur Erkennung physikalischer Dimensionen der Position, mit Skalarausgang",Positionsmesswertgeber,Radar,Positionsmesswertgeber
B,BG,BGA,BGA,"Objekt zur Erkennung physikalischer Dimensionen der Position, mit Skalarausgang",Positionsmesswertgeber,Windrichtungssensor,Positionsmesswertgeber
B,BG,BGA,BGA,"Objekt zur Erkennung physikalischer Dimensionen der Position, mit Skalarausgang",Positionsmesswertgeber,Windrichtungssensor,Windrichtungssensor
B,BG,BGA,BGA,"Objekt zur Erkennung physikalischer Dimensionen der Position, mit Skalarausgang",Positionsmesswertgeber,Windrichtungssensor,"Objekt zur Erkennung physikalischer Dimensionen der Position, mit Skalarausgang"
B,BG,BGA,BGA,"Objekt zur Erkennung physikalischer Dimensionen der Position, mit Skalarausgang",Positionsmesswertgeber,Positionssensor,Positionssensor
B,BG,BGA,BGA,"Objekt zur Erkennung physikalischer Dimensionen der Position, mit Skalarausgang",Positionsmesswertgeber,Positionssensor,Positionsmesswertgeber
B,BG,BGA,BGA,"Objekt zur Erkennung physikalischer Dimensionen der Position, mit Skalarausgang",Positionsmesswertgeber,Positionssensor,"Objekt zur Erkennung physikalischer Dimensionen der Position, mit Skalarausgang"
B,BG,BGB,BGB,"Objekt zur Erkennung physikalischer Dimensionen der Position, mit Booleschem Ausgang",Positionsschalter,Bewegungsdetektor,Bewegungsdetektor
B,BG,BGB,BGB,"Objekt zur Erkennung physikalischer Dimensionen der Position, mit Booleschem Ausgang",Positionsschalter,Bewegungsdetektor,Positionsschalter
B,BG,BGB,BGB,"Objekt zur Erkennung physikalischer Dimensionen der Position, mit Booleschem Ausgang",Positionsschalter,Bewegungsdetektor,"Objekt zur Erkennung physikalischer Dimensionen der Position, mit Booleschem Ausgang"
B,BG,BGB,BGB,"Objekt zur Erkennung physikalischer Dimensionen der Position, mit Booleschem Ausgang",Positionsschalter,Bewegungs-sensor (PIR),Bewegungs-sensor (PIR)
B,BG,BGB,BGB,"Objekt zur Erkennung physikalischer Dimensionen der Position, mit Booleschem Ausgang",Positionsschalter,Bewegungs-sensor (PIR),Positionsschalter
B,BG,BGB,BGB,"Objekt zur Erkennung physikalischer Dimensionen der Position, mit Booleschem Ausgang",Positionsschalter,Bewegungs-sensor (PIR),"Objekt zur Erkennung physikalischer Dimensionen der Position, mit Booleschem Ausgang"
B,BG,BGB,BGB,"Objekt zur Erkennung physikalischer Dimensionen der Position, mit Booleschem Ausgang",Positionsschalter,Positionssensor,Positionsschalter
B,BG,BGB,BGB,"Objekt zur Erkennung physikalischer Dimensionen der Position, mit Booleschem Ausgang",Positionsschalter,Positionssensor,"Objekt zur Erkennung physikalischer Dimensionen der Position, mit Booleschem Ausgang"
B,BG,BGB,BGB,"Objekt zur Erkennung physikalischer Dimensionen der Position, mit Booleschem Ausgang",Positionsschalter,Präsenzdetektor,Präsenzdetektor
B,BG,BGB,BGB,"Objekt zur Erkennung physikalischer Dimensionen der Position, mit Booleschem Ausgang",Positionsschalter,Präsenzdetektor,Positionsschalter
B,BG,BGB,BGB,"Objekt zur Erkennung physikalischer Dimensionen der Position, mit Booleschem Ausgang",Positionsschalter,Präsenzdetektor,"Objekt zur Erkennung physikalischer Dimensionen der Position, mit Booleschem Ausgang"
B,BG,BGB,BGB,"Objekt zur Erkennung physikalischer Dimensionen der Position, mit Booleschem Ausgang",Positionsschalter,Positionssensor,Positionssensor
B,BG,BGC,BGC,"Objekt zur Erkennung physikalischer Dimensionen für Längen, mit Skalarausgang",Distanzmesswertgeber,Laserdistanzsensor,"Objekt zur Erkennung physikalischer Dimensionen für Längen, mit Skalarausgang"
B,BG,BGC,BGC,"Objekt zur Erkennung physikalischer Dimensionen für Längen, mit Skalarausgang",Distanzmesswertgeber,Laserdistanzsensor,Laserdistanzsensor
B,BG,BGC,BGC,"Objekt zur Erkennung physikalischer Dimensionen für Längen, mit Skalarausgang",Distanzmesswertgeber,Laserdistanzsensor,Distanzmesswertgeber
B,BG,BGC,BGC,"Objekt zur Erkennung physikalischer Dimensionen für Längen, mit Skalarausgang",Distanzmesswertgeber,Positions-sensor,Positions-sensor
B,BG,BGC,BGC,"Objekt zur Erkennung physikalischer Dimensionen für Längen, mit Skalarausgang",Distanzmesswertgeber,Sichtbarkeitssensor,"Objekt zur Erkennung physikalischer Dimensionen für Längen, mit Skalarausgang"
B,BG,BGC,BGC,"Objekt zur Erkennung physikalischer Dimensionen für Längen, mit Skalarausgang",Distanzmesswertgeber,Positions-sensor,"Objekt zur Erkennung physikalischer Dimensionen für Längen, mit Skalarausgang"
B,BG,BGC,BGC,"Objekt zur Erkennung physikalischer Dimensionen für Längen, mit Skalarausgang",Distanzmesswertgeber,Sichtbarkeitssensor,Sichtbarkeitssensor
B,BG,BGC,BGC,"Objekt zur Erkennung physikalischer Dimensionen für Längen, mit Skalarausgang",Distanzmesswertgeber,Sichtbarkeitssensor,Distanzmesswertgeber
B,BG,BGC,BGC,"Objekt zur Erkennung physikalischer Dimensionen für Längen, mit Skalarausgang",Distanzmesswertgeber,Positions-sensor,Distanzmesswertgeber
B,BG,BGD,BGD,"Objekt zur Erkennung physikalischer Dimensionen für Längen, mit Booleschem Ausgang",Distanzschalter,Präsenzdetektor,"Objekt zur Erkennung physikalischer Dimensionen für Längen, mit Booleschem Ausgang"
B,BG,BGD,BGD,"Objekt zur Erkennung physikalischer Dimensionen für Längen, mit Booleschem Ausgang",Distanzschalter,Laserdistanz-Erkennungsschalter,Laserdistanz-Erkennungsschalter
B,BG,BGD,BGD,"Objekt zur Erkennung physikalischer Dimensionen für Längen, mit Booleschem Ausgang",Distanzschalter,Laserdistanz-Erkennungsschalter,Distanzschalter
B,BG,BGD,BGD,"Objekt zur Erkennung physikalischer Dimensionen für Längen, mit Booleschem Ausgang",Distanzschalter,Laserdistanz-Erkennungsschalter,"Objekt zur Erkennung physikalischer Dimensionen für Längen, mit Booleschem Ausgang"
B,BG,BGD,BGD,"Objekt zur Erkennung physikalischer Dimensionen für Längen, mit Booleschem Ausgang",Distanzschalter,Sichtbarkeitsdetektor,Sichtbarkeitsdetektor
B,BG,BGD,BGD,"Objekt zur Erkennung physikalischer Dimensionen für Längen, mit Booleschem Ausgang",Distanzschalter,Sichtbarkeitsdetektor,Distanzschalter
B,BG,BGD,BGD,"Objekt zur Erkennung physikalischer Dimensionen für Längen, mit Booleschem Ausgang",Distanzschalter,Sichtbarkeitsdetektor,"Objekt zur Erkennung physikalischer Dimensionen für Längen, mit Booleschem Ausgang"
B,BG,BGD,BGD,"Objekt zur Erkennung physikalischer Dimensionen für Längen, mit Booleschem Ausgang",Distanzschalter,Präsenzdetektor,Präsenzdetektor
B,BG,BGD,BGD,"Objekt zur Erkennung physikalischer Dimensionen für Längen, mit Booleschem Ausgang",Distanzschalter,Präsenzdetektor,Distanzschalter
B,BG,BGD,BGD,"Objekt zur Erkennung physikalischer Dimensionen für Längen, mit Booleschem Ausgang",Distanzschalter,Positionssensor,Positionssensor
B,BG,BGD,BGD,"Objekt zur Erkennung physikalischer Dimensionen für Längen, mit Booleschem Ausgang",Distanzschalter,Laserdistanzsensor,Distanzschalter
B,BG,BGD,BGD,"Objekt zur Erkennung physikalischer Dimensionen für Längen, mit Booleschem Ausgang",Distanzschalter,Positionssensor,"Objekt zur Erkennung physikalischer Dimensionen für Längen, mit Booleschem Ausgang"
B,BG,BGD,BGD,"Objekt zur Erkennung physikalischer Dimensionen für Längen, mit Booleschem Ausgang",Distanzschalter,Positionssensor,Distanzschalter
B,BG,BGD,BGD,"Objekt zur Erkennung physikalischer Dimensionen für Längen, mit Booleschem Ausgang",Distanzschalter,Laserdistanzsensor,Laserdistanzsensor
B,BG,BGD,BGD,"Objekt zur Erkennung physikalischer Dimensionen für Längen, mit Booleschem Ausgang",Distanzschalter,Bewegungs-detektor,"Objekt zur Erkennung physikalischer Dimensionen für Längen, mit Booleschem Ausgang"
B,BG,BGD,BGD,"Objekt zur Erkennung physikalischer Dimensionen für Längen, mit Booleschem Ausgang",Distanzschalter,Bewegungs-detektor,Distanzschalter
B,BG,BGD,BGD,"Objekt zur Erkennung physikalischer Dimensionen für Längen, mit Booleschem Ausgang",Distanzschalter,Laserdistanzsensor,"Objekt zur Erkennung physikalischer Dimensionen für Längen, mit Booleschem Ausgang"
B,BG,BGD,BGD,"Objekt zur Erkennung physikalischer Dimensionen für Längen, mit Booleschem Ausgang",Distanzschalter,Bewegungssensor (PIR),"Objekt zur Erkennung physikalischer Dimensionen für Längen, mit Booleschem Ausgang"
B,BG,BGD,BGD,"Objekt zur Erkennung physikalischer Dimensionen für Längen, mit Booleschem Ausgang",Distanzschalter,Bewegungssensor (PIR),Distanzschalter
B,BG,BGD,BGD,"Objekt zur Erkennung physikalischer Dimensionen für Längen, mit Booleschem Ausgang",Distanzschalter,Bewegungssensor (PIR),Bewegungssensor (PIR)
B,BG,BGD,BGD,"Objekt zur Erkennung physikalischer Dimensionen für Längen, mit Booleschem Ausgang",Distanzschalter,Bewegungs-detektor,Bewegungs-detektor
B,BG,BGE,BGE,"Objekt zur Erkennung physikalischer Dimensionen für Winkel oder Richtungen, mit Skalarausgang",Winkelmesswertgeber,Anzeigeeinrichtung,"Objekt zur Erkennung physikalischer Dimensionen für Winkel oder Richtungen, mit Skalarausgang"
B,BG,BGE,BGE,"Objekt zur Erkennung physikalischer Dimensionen für Winkel oder Richtungen, mit Skalarausgang",Winkelmesswertgeber,Ausrichtungssensor,Winkelmesswertgeber
B,BG,BGE,BGE,"Objekt zur Erkennung physikalischer Dimensionen für Winkel oder Richtungen, mit Skalarausgang",Winkelmesswertgeber,Ausrichtungssensor,Ausrichtungssensor
B,BG,BGE,BGE,"Objekt zur Erkennung physikalischer Dimensionen für Winkel oder Richtungen, mit Skalarausgang",Winkelmesswertgeber,Ausrichtungssensor,"Objekt zur Erkennung physikalischer Dimensionen für Winkel oder Richtungen, mit Skalarausgang"
B,BG,BGE,BGE,"Objekt zur Erkennung physikalischer Dimensionen für Winkel oder Richtungen, mit Skalarausgang",Winkelmesswertgeber,Windrich-tungsanzeige,Windrich-tungsanzeige
B,BG,BGE,BGE,"Objekt zur Erkennung physikalischer Dimensionen für Winkel oder Richtungen, mit Skalarausgang",Winkelmesswertgeber,Windrich-tungsanzeige,Winkelmesswertgeber
B,BG,BGE,BGE,"Objekt zur Erkennung physikalischer Dimensionen für Winkel oder Richtungen, mit Skalarausgang",Winkelmesswertgeber,Windrich-tungsanzeige,"Objekt zur Erkennung physikalischer Dimensionen für Winkel oder Richtungen, mit Skalarausgang"
B,BG,BGE,BGE,"Objekt zur Erkennung physikalischer Dimensionen für Winkel oder Richtungen, mit Skalarausgang",Winkelmesswertgeber,Anzeigeeinrichtung,Anzeigeeinrichtung
B,BG,BGE,BGE,"Objekt zur Erkennung physikalischer Dimensionen für Winkel oder Richtungen, mit Skalarausgang",Winkelmesswertgeber,Anzeigeeinrichtung,Winkelmesswertgeber
B,BG,BGE,BGE,"Objekt zur Erkennung physikalischer Dimensionen für Winkel oder Richtungen, mit Skalarausgang",Winkelmesswertgeber,Drehgeber,Drehgeber
B,BG,BGE,BGE,"Objekt zur Erkennung physikalischer Dimensionen für Winkel oder Richtungen, mit Skalarausgang",Winkelmesswertgeber,Anschlag,Winkelmesswertgeber
B,BG,BGE,BGE,"Objekt zur Erkennung physikalischer Dimensionen für Winkel oder Richtungen, mit Skalarausgang",Winkelmesswertgeber,Drehgeber,"Objekt zur Erkennung physikalischer Dimensionen für Winkel oder Richtungen, mit Skalarausgang"
B,BG,BGE,BGE,"Objekt zur Erkennung physikalischer Dimensionen für Winkel oder Richtungen, mit Skalarausgang",Winkelmesswertgeber,Drehgeber,Winkelmesswertgeber
B,BG,BGE,BGE,"Objekt zur Erkennung physikalischer Dimensionen für Winkel oder Richtungen, mit Skalarausgang",Winkelmesswertgeber,Anschlag,Anschlag
B,BG,BGE,BGE,"Objekt zur Erkennung physikalischer Dimensionen für Winkel oder Richtungen, mit Skalarausgang",Winkelmesswertgeber,Positionssensor,"Objekt zur Erkennung physikalischer Dimensionen für Winkel oder Richtungen, mit Skalarausgang"
B,BG,BGE,BGE,"Objekt zur Erkennung physikalischer Dimensionen für Winkel oder Richtungen, mit Skalarausgang",Winkelmesswertgeber,Positionssensor,Winkelmesswertgeber
B,BG,BGE,BGE,"Objekt zur Erkennung physikalischer Dimensionen für Winkel oder Richtungen, mit Skalarausgang",Winkelmesswertgeber,Anschlag,"Objekt zur Erkennung physikalischer Dimensionen für Winkel oder Richtungen, mit Skalarausgang"
